ImageWidth,ImageLength,ResolutionUnit,ExifOffset,Make,Model,Software,Orientation,DateTime,YCbCrPositioning,XResolution,YResolution,ExifVersion,ShutterSpeedValue,ApertureValue,DateTimeOriginal,DateTimeDigitized,BrightnessValue,ExposureBiasValue,MaxApertureValue,MeteringMode,Flash,FocalLength,ColorSpace,ExifImageWidth,DigitalZoomRatio,FocalLengthIn35mmFilm,SceneCaptureType,OffsetTime,OffsetTimeOriginal,SubsecTime,SubsecTimeOriginal,SubsecTimeDigitized,ExifImageHeight,ExposureTime,FNumber,ExposureProgram,ISOSpeedRatings,ExposureMode,FlashPixVersion,WhiteBalance,MakerNote,Fichier
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:19:30,1,72.0,72.0,b'0220',0.001075268,1.69,2025:10:30 10:19:30,2025:10:30 10:19:30,6.51,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,836,836,836,3000,0.001075268,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_101930.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:19:38,1,72.0,72.0,b'0220',0.00085034,1.69,2025:10:30 10:19:38,2025:10:30 10:19:38,6.88,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,803,803,803,3000,0.00085034,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_101938.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:19:47,1,72.0,72.0,b'0220',0.001579778,1.69,2025:10:30 10:19:47,2025:10:30 10:19:47,6.0,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,336,336,336,3000,0.001579778,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_101947.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:20:43,1,72.0,72.0,b'0220',0.000889679,1.69,2025:10:30 10:20:43,2025:10:30 10:20:43,6.9,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,806,806,806,3000,0.000889679,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102043.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:20:48,1,72.0,72.0,b'0220',0.000485908,1.69,2025:10:30 10:20:48,2025:10:30 10:20:48,7.76,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,773,773,773,3000,0.000485908,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102048.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,1,2025:10:30 10:21:17,1,72.0,72.0,b'0220',0.000448028,1.69,2025:10:30 10:21:17,2025:10:30 10:21:17,7.97,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,607,607,607,3000,0.000448028,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102117.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:21:41,1,72.0,72.0,b'0220',0.000905797,1.69,2025:10:30 10:21:41,2025:10:30 10:21:41,6.92,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,641,641,641,3000,0.000905797,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102141.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:22:16,1,72.0,72.0,b'0220',0.000369959,1.69,2025:10:30 10:22:16,2025:10:30 10:22:16,8.18,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,977,977,977,3000,0.000369959,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102216.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:25:28,1,72.0,72.0,b'0220',0.000639795,1.69,2025:10:30 10:25:28,2025:10:30 10:25:28,7.76,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,917,917,917,3000,0.000639795,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102528.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,1,2025:10:30 10:26:37,1,72.0,72.0,b'0220',0.006172839,1.69,2025:10:30 10:26:37,2025:10:30 10:26:37,4.18,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,981,981,981,3000,0.006172839,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102637.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,1,2025:10:30 10:27:24,1,72.0,72.0,b'0220',0.008620689,1.69,2025:10:30 10:27:24,2025:10:30 10:27:24,4.85,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,414,414,414,3000,0.008620689,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_102724.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:13,1,72.0,72.0,b'0220',0.00034602,1.69,2025:10:30 10:30:13,2025:10:30 10:30:13,8.17,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,047,047,047,3000,0.00034602,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103012.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:15,1,72.0,72.0,b'0220',0.000778816,1.69,2025:10:30 10:30:15,2025:10:30 10:30:15,7.35,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,748,748,748,3000,0.000778816,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103015.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:17,1,72.0,72.0,b'0220',0.000697836,1.69,2025:10:30 10:30:17,2025:10:30 10:30:17,7.7,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,548,548,548,3000,0.000697836,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103017.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:30:44,1,72.0,72.0,b'0220',0.000257003,1.69,2025:10:30 10:30:44,2025:10:30 10:30:44,8.68,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,416,416,416,3000,0.000257003,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103044.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:31:32,1,72.0,72.0,b'0220',0.000888888,1.69,2025:10:30 10:31:32,2025:10:30 10:31:32,7.92,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,884,884,884,3000,0.000888888,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103132.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:31:57,1,72.0,72.0,b'0220',0.000161995,1.69,2025:10:30 10:31:57,2025:10:30 10:31:57,9.27,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,786,786,786,3000,0.000161995,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103157.jpg
4000,3000,2,230,samsung,Galaxy A56 5G,A566BXXS6AYGE,6,2025:10:30 10:32:24,1,72.0,72.0,b'0220',0.000893655,1.69,2025:10:30 10:32:24,2025:10:30 10:32:24,7.19,0.0,1.69,2,0,5.54,65535,4000,1.0,23,0,+01:00,+01:00,252,252,252,3000,0.000893655,1.8,2,50,0,b'0100',0,b'\x04\x00\x01\x00\x07\x00\x04\x00\x00\x000101\x02\x00\x04\x00\x01\x00\x00\x00\x00 \x01\x00\x1a\xa0\x04\x00\x01\x00\x00\x00\x17\x00\x00\x00\x00\xb0\x03\x00\x01\x00\x00\x00\x02\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',20251030_103223.jpg
